,0
2030-01-01 00:00,-1020.5400455218178
2030-01-01 01:00,-1015.3684216346633
2030-01-01 02:00,-1010.1967977475085
2030-01-01 03:00,-1005.025173860354
2030-01-01 04:00,-1024.8535499731995
2030-01-01 05:00,-1084.6819260860448
2030-01-01 06:00,-1149.5103021988903
2030-01-01 07:00,-1174.3386783117357
2030-01-01 08:00,-1184.167054424581
2030-01-01 09:00,-1173.9954305374265
2030-01-01 10:00,-1163.823806650272
2030-01-01 11:00,-1173.6521827631173
2030-01-01 12:00,-1193.4805588759627
2030-01-01 13:00,-1153.3089349888082
2030-01-01 14:00,-1123.1373111016535
2030-01-01 15:00,-1112.965687214499
2030-01-01 16:00,-1117.7940633273445
2030-01-01 17:00,-1162.6224394401897
2030-01-01 18:00,-1262.4508155530352
2030-01-01 19:00,-1272.2791916658807
2030-01-01 20:00,-1242.107567778726
2030-01-01 21:00,-1181.9359438915715
2030-01-01 22:00,-1111.764320004417
2030-01-01 23:00,-1051.5926961172622
2030-01-02 00:00,-1016.4210722301077
2030-01-02 01:00,-1011.2494483429532
2030-01-02 02:00,-1006.0778244557987
2030-01-02 03:00,-1000.906200568644
2030-01-02 04:00,-1020.7345766814894
2030-01-02 05:00,-1080.562952794335
2030-01-02 06:00,-1145.3913289071802
2030-01-02 07:00,-1170.2197050200257
2030-01-02 08:00,-1180.0480811328712
2030-01-02 09:00,-1169.8764572457164
2030-01-02 10:00,-1159.704833358562
2030-01-02 11:00,-1169.5332094714074
2030-01-02 12:00,-1189.3615855842527
2030-01-02 13:00,-1149.1899616970982
2030-01-02 14:00,-1119.0183378099437
2030-01-02 15:00,-1108.846713922789
2030-01-02 16:00,-1113.6750900356344
2030-01-02 17:00,-1158.50346614848
2030-01-02 18:00,-1258.3318422613252
2030-01-02 19:00,-1268.1602183741707
2030-01-02 20:00,-1237.9885944870161
2030-01-02 21:00,-1177.8169705998614
2030-01-02 22:00,-1107.645346712707
2030-01-02 23:00,-1047.4737228255524
2030-01-03 00:00,-1012.3020989383976
2030-01-03 01:00,-1007.1304750512431
2030-01-03 02:00,-1001.9588511640886
2030-01-03 03:00,-996.7872272769339
2030-01-03 04:00,-1016.6156033897794
2030-01-03 05:00,-1076.4439795026249
2030-01-03 06:00,-1141.2723556154701
2030-01-03 07:00,-1166.1007317283156
2030-01-03 08:00,-1175.929107841161
2030-01-03 09:00,-1165.7574839540064
2030-01-03 10:00,-1155.5858600668519
2030-01-03 11:00,-1165.4142361796974
2030-01-03 12:00,-1185.2426122925426
2030-01-03 13:00,-1145.070988405388
2030-01-03 14:00,-1114.8993645182336
2030-01-03 15:00,-1104.7277406310789
2030-01-03 16:00,-1109.5561167439243
2030-01-03 17:00,-1154.3844928567698
2030-01-03 18:00,-1254.2128689696153
2030-01-03 19:00,-1264.0412450824606
2030-01-03 20:00,-1233.869621195306
2030-01-03 21:00,-1173.6979973081516
2030-01-03 22:00,-1103.5263734209968
2030-01-03 23:00,-1043.3547495338423
2030-01-04 00:00,-1008.1831256466878
2030-01-04 01:00,-1003.0115017595331
2030-01-04 02:00,-997.8398778723786
2030-01-04 03:00,-992.668253985224
2030-01-04 04:00,-1012.4966300980693
2030-01-04 05:00,-1072.3250062109148
2030-01-04 06:00,-1137.1533823237603
2030-01-04 07:00,-1161.9817584366056
2030-01-04 08:00,-1171.810134549451
2030-01-04 09:00,-1161.6385106622965
2030-01-04 10:00,-1151.4668867751418
2030-01-04 11:00,-1161.2952628879873
2030-01-04 12:00,-1181.1236390008328
2030-01-04 13:00,-1140.952015113678
2030-01-04 14:00,-1110.7803912265235
2030-01-04 15:00,-1100.608767339369
2030-01-04 16:00,-1105.4371434522143
2030-01-04 17:00,-1150.2655195650598
2030-01-04 18:00,-1250.0938956779053
2030-01-04 19:00,-1259.9222717907505
2030-01-04 20:00,-1229.750647903596
2030-01-04 21:00,-1169.5790240164415
2030-01-04 22:00,-1099.4074001292868
2030-01-04 23:00,-1039.2357762421323
2030-01-05 00:00,-1004.0641523549778
2030-01-05 01:00,-998.892528467823
2030-01-05 02:00,-993.7209045806685
2030-01-05 03:00,-988.549280693514
2030-01-05 04:00,-1008.3776568063593
2030-01-05 05:00,-1068.2060329192047
2030-01-05 06:00,-1133.0344090320502
2030-01-05 07:00,-1157.8627851448955
2030-01-05 08:00,-1167.691161257741
2030-01-05 09:00,-1157.5195373705865
2030-01-05 10:00,-1147.3479134834317
2030-01-05 11:00,-1157.1762895962772
2030-01-05 12:00,-1177.0046657091227
2030-01-05 13:00,-1136.8330418219682
2030-01-05 14:00,-1106.6614179348135
2030-01-05 15:00,-1096.489794047659
2030-01-05 16:00,-1101.3181701605045
2030-01-05 17:00,-1146.1465462733497
2030-01-05 18:00,-1245.9749223861952
2030-01-05 19:00,-1255.8032984990407
2030-01-05 20:00,-1225.631674611886
2030-01-05 21:00,-1165.4600507247314
2030-01-05 22:00,-1095.288426837577
2030-01-05 23:00,-1035.1168029504222
2030-01-06 00:00,-999.9451790632677
2030-01-06 01:00,-994.7735551761132
2030-01-06 02:00,-989.6019312889584
2030-01-06 03:00,-984.4303074018039
2030-01-06 04:00,-1004.2586835146494
2030-01-06 05:00,-1064.0870596274947
2030-01-06 06:00,-1128.9154357403402
2030-01-06 07:00,-1153.7438118531857
2030-01-06 08:00,-1163.572187966031
2030-01-06 09:00,-1153.4005640788764
2030-01-06 10:00,-1143.228940191722
2030-01-06 11:00,-1153.0573163045672
2030-01-06 12:00,-1172.8856924174127
2030-01-06 13:00,-1132.7140685302581
2030-01-06 14:00,-1102.5424446431034
2030-01-06 15:00,-1092.370820755949
2030-01-06 16:00,-1097.1991968687944
2030-01-06 17:00,-1142.0275729816397
2030-01-06 18:00,-1241.8559490944851
2030-01-06 19:00,-1251.6843252073306
2030-01-06 20:00,-1221.512701320176
2030-01-06 21:00,-1161.3410774330214
2030-01-06 22:00,-1091.1694535458669
2030-01-06 23:00,-1030.9978296587121
2030-01-07 00:00,-995.8262057715576
2030-01-07 01:00,-990.6545818844031
2030-01-07 02:00,-985.4829579972484
2030-01-07 03:00,-980.3113341100939
2030-01-07 04:00,-1000.1397102229394
2030-01-07 05:00,-1059.9680863357848
2030-01-07 06:00,-1124.79646244863
2030-01-07 07:00,-1149.6248385614756
2030-01-07 08:00,-1159.453214674321
2030-01-07 09:00,-1149.2815907871664
2030-01-07 10:00,-1139.1099669000118
2030-01-07 11:00,-1148.9383430128573
2030-01-07 12:00,-1168.7667191257026
2030-01-07 13:00,-1128.595095238548
2030-01-07 14:00,-1098.4234713513936
2030-01-07 15:00,-1088.2518474642388
2030-01-07 16:00,-1093.0802235770843
2030-01-07 17:00,-1137.9085996899298
2030-01-07 18:00,-1237.736975802775
2030-01-07 19:00,-1247.5653519156206
2030-01-07 20:00,-1217.393728028466
2030-01-07 21:00,-1157.2221041413113
2030-01-07 22:00,-1087.0504802541568
2030-01-07 23:00,-1026.8788563670023
2030-01-08 00:00,-991.7072324798476
2030-01-08 01:00,-986.535608592693
2030-01-08 02:00,-981.3639847055385
2030-01-08 03:00,-976.1923608183838
2030-01-08 04:00,-996.0207369312293
2030-01-08 05:00,-1055.8491130440748
2030-01-08 06:00,-1120.67748915692
2030-01-08 07:00,-1145.5058652697655
2030-01-08 08:00,-1155.334241382611
2030-01-08 09:00,-1145.1626174954563
2030-01-08 10:00,-1134.9909936083018
2030-01-08 11:00,-1144.8193697211473
2030-01-08 12:00,-1164.6477458339925
2030-01-08 13:00,-1124.476121946838
2030-01-08 14:00,-1094.3044980596835
2030-01-08 15:00,-1084.1328741725288
2030-01-08 16:00,-1088.9612502853743
2030-01-08 17:00,-1133.7896263982198
2030-01-08 18:00,-1233.618002511065
2030-01-08 19:00,-1243.4463786239105
2030-01-08 20:00,-1213.274754736756
2030-01-08 21:00,-1153.1031308496013
2030-01-08 22:00,-1082.9315069624467
2030-01-08 23:00,-1022.7598830752922
2030-01-09 00:00,-987.5882591881377
2030-01-09 01:00,-982.416635300983
2030-01-09 02:00,-977.2450114138285
2030-01-09 03:00,-972.073387526674
2030-01-09 04:00,-991.9017636395192
2030-01-09 05:00,-1051.7301397523647
2030-01-09 06:00,-1116.5585158652102
2030-01-09 07:00,-1141.3868919780555
2030-01-09 08:00,-1151.215268090901
2030-01-09 09:00,-1141.0436442037465
2030-01-09 10:00,-1130.8720203165917
2030-01-09 11:00,-1140.7003964294372
2030-01-09 12:00,-1160.5287725422827
2030-01-09 13:00,-1120.357148655128
2030-01-09 14:00,-1090.1855247679734
2030-01-09 15:00,-1080.013900880819
2030-01-09 16:00,-1084.8422769936642
2030-01-09 17:00,-1129.6706531065097
2030-01-09 18:00,-1229.4990292193552
2030-01-09 19:00,-1239.3274053322004
2030-01-09 20:00,-1209.155781445046
2030-01-09 21:00,-1148.9841575578914
2030-01-09 22:00,-1078.8125336707367
2030-01-09 23:00,-1018.6409097835822
2030-01-10 00:00,-983.4692858964277
2030-01-10 01:00,-978.2976620092729
2030-01-10 02:00,-973.1260381221184
2030-01-10 03:00,-967.9544142349639
2030-01-10 04:00,-987.7827903478092
2030-01-10 05:00,-1047.6111664606547
2030-01-10 06:00,-1112.4395425735001
2030-01-10 07:00,-1137.2679186863454
2030-01-10 08:00,-1147.096294799191
2030-01-10 09:00,-1136.9246709120364
2030-01-10 10:00,-1126.7530470248817
2030-01-10 11:00,-1136.5814231377271
2030-01-10 12:00,-1156.4097992505726
2030-01-10 13:00,-1116.238175363418
2030-01-10 14:00,-1086.0665514762634
2030-01-10 15:00,-1075.8949275891089
2030-01-10 16:00,-1080.7233037019544
2030-01-10 17:00,-1125.5516798147996
2030-01-10 18:00,-1225.3800559276451
2030-01-10 19:00,-1235.2084320404906
2030-01-10 20:00,-1205.0368081533359
2030-01-10 21:00,-1144.8651842661814
2030-01-10 22:00,-1074.6935603790268
2030-01-10 23:00,-1014.5219364918721
2030-01-11 00:00,-979.3503126047176
2030-01-11 01:00,-974.1786887175631
2030-01-11 02:00,-969.0070648304084
2030-01-11 03:00,-963.8354409432538
2030-01-11 04:00,-983.6638170560993
2030-01-11 05:00,-1043.4921931689446
2030-01-11 06:00,-1108.32056928179
2030-01-11 07:00,-1133.1489453946356
2030-01-11 08:00,-1142.9773215074808
2030-01-11 09:00,-1132.8056976203263
2030-01-11 10:00,-1122.6340737331718
2030-01-11 11:00,-1132.462449846017
2030-01-11 12:00,-1152.2908259588626
2030-01-11 13:00,-1112.119202071708
2030-01-11 14:00,-1081.9475781845533
2030-01-11 15:00,-1071.7759542973988
2030-01-11 16:00,-1076.6043304102443
2030-01-11 17:00,-1121.4327065230896
2030-01-11 18:00,-1221.261082635935
2030-01-11 19:00,-1231.0894587487805
2030-01-11 20:00,-1200.9178348616258
2030-01-11 21:00,-1140.7462109744713
2030-01-11 22:00,-1070.5745870873168
2030-01-11 23:00,-1010.402963200162
2030-01-12 00:00,-975.2313393130075
2030-01-12 01:00,-970.059715425853
2030-01-12 02:00,-964.8880915386983
2030-01-12 03:00,-959.7164676515438
2030-01-12 04:00,-979.5448437643893
2030-01-12 05:00,-1039.3732198772345
2030-01-12 06:00,-1104.20159599008
2030-01-12 07:00,-1129.0299721029255
2030-01-12 08:00,-1138.8583482157708
2030-01-12 09:00,-1128.6867243286163
2030-01-12 10:00,-1118.5151004414618
2030-01-12 11:00,-1128.3434765543072
2030-01-12 12:00,-1148.1718526671525
2030-01-12 13:00,-1108.000228779998
2030-01-12 14:00,-1077.8286048928435
2030-01-12 15:00,-1067.6569810056887
2030-01-12 16:00,-1072.4853571185342
2030-01-12 17:00,-1117.3137332313797
2030-01-12 18:00,-1217.142109344225
2030-01-12 19:00,-1226.9704854570705
2030-01-12 20:00,-1196.798861569916
2030-01-12 21:00,-1136.6272376827612
2030-01-12 22:00,-1066.4556137956067
2030-01-12 23:00,-1006.2839899084522
2030-01-13 00:00,-971.1123660212975
2030-01-13 01:00,-965.940742134143
2030-01-13 02:00,-960.7691182469885
2030-01-13 03:00,-955.5974943598337
2030-01-13 04:00,-975.4258704726792
2030-01-13 05:00,-1035.2542465855247
2030-01-13 06:00,-1100.08262269837
2030-01-13 07:00,-1124.9109988112154
2030-01-13 08:00,-1134.739374924061
2030-01-13 09:00,-1124.5677510369062
2030-01-13 10:00,-1114.3961271497517
2030-01-13 11:00,-1124.2245032625972
2030-01-13 12:00,-1144.0528793754424
2030-01-13 13:00,-1103.881255488288
2030-01-13 14:00,-1073.7096316011334
2030-01-13 15:00,-1063.5380077139787
2030-01-13 16:00,-1068.3663838268242
2030-01-13 17:00,-1113.1947599396697
2030-01-13 18:00,-1213.023136052515
2030-01-13 19:00,-1222.8515121653604
2030-01-13 20:00,-1192.679888278206
2030-01-13 21:00,-1132.5082643910512
2030-01-13 22:00,-1062.3366405038967
2030-01-13 23:00,-1002.1650166167422
2030-01-14 00:00,-966.9933927295874
2030-01-14 01:00,-961.8217688424329
2030-01-14 02:00,-956.6501449552784
2030-01-14 03:00,-951.4785210681239
2030-01-14 04:00,-971.3068971809691
2030-01-14 05:00,-1031.1352732938146
2030-01-14 06:00,-1095.9636494066601
2030-01-14 07:00,-1120.7920255195054
2030-01-14 08:00,-1130.6204016323509
2030-01-14 09:00,-1120.4487777451964
2030-01-14 10:00,-1110.2771538580416
2030-01-14 11:00,-1120.1055299708871
2030-01-14 12:00,-1139.9339060837326
2030-01-14 13:00,-1099.7622821965779
2030-01-14 14:00,-1069.5906583094234
2030-01-14 15:00,-1059.4190344222689
2030-01-14 16:00,-1064.247410535114
2030-01-14 17:00,-1109.0757866479596
2030-01-14 18:00,-1208.904162760805
2030-01-14 19:00,-1218.7325388736504
2030-01-14 20:00,-1188.5609149864958
2030-01-14 21:00,-1128.3892910993413
2030-01-14 22:00,-1058.2176672121866
2030-01-14 23:00,-998.0460433250321
2030-01-15 00:00,-962.8744194378776
2030-01-15 01:00,-957.7027955507228
2030-01-15 02:00,-952.5311716635683
2030-01-15 03:00,-947.3595477764138
2030-01-15 04:00,-967.1879238892591
2030-01-15 05:00,-1027.0163000021046
2030-01-15 06:00,-1091.84467611495
2030-01-15 07:00,-1116.6730522277953
2030-01-15 08:00,-1126.5014283406408
2030-01-15 09:00,-1116.3298044534863
2030-01-15 10:00,-1106.1581805663316
2030-01-15 11:00,-1115.986556679177
2030-01-15 12:00,-1135.8149327920225
2030-01-15 13:00,-1095.6433089048678
2030-01-15 14:00,-1065.4716850177133
2030-01-15 15:00,-1055.3000611305588
2030-01-15 16:00,-1060.128437243404
2030-01-15 17:00,-1104.9568133562495
2030-01-15 18:00,-1204.785189469095
2030-01-15 19:00,-1214.6135655819403
2030-01-15 20:00,-1184.4419416947858
2030-01-15 21:00,-1124.2703178076313
2030-01-15 22:00,-1054.0986939204768
2030-01-15 23:00,-993.927070033322
2030-01-16 00:00,-958.7554461461675
2030-01-16 01:00,-953.583822259013
2030-01-16 02:00,-948.4121983718583
2030-01-16 03:00,-943.2405744847038
2030-01-16 04:00,-963.0689505975492
2030-01-16 05:00,-1022.8973267103945
2030-01-16 06:00,-1087.72570282324
2030-01-16 07:00,-1112.5540789360855
2030-01-16 08:00,-1122.3824550489308
